id,gid,x,y,v_x,v_y,radius,time
6,6,0.000000,-7.856616,0.000000,0.253036,0.500000,1.000000
7,7,5.570078,-5.569990,-0.153148,0.153285,0.500000,1.000000
0,0,7.837773,0.000052,-0.261578,0.000085,0.500000,1.100000
1,1,5.555468,5.555467,-0.163470,-0.163473,0.500000,1.100000
2,2,0.000046,7.831379,0.000075,-0.271888,0.500000,1.100000
3,3,-5.541222,5.541249,0.186441,-0.186397,0.500000,1.100000
4,4,-7.854019,0.000034,0.235382,0.000056,0.500000,1.100000
5,5,-5.538956,-5.539044,0.190095,0.189969,0.500000,1.100000
6,6,0.000000,-7.829052,0.000000,0.275640,0.500000,1.100000
7,7,5.553395,-5.553292,-0.166829,0.166978,0.500000,1.100000
0,0,7.809513,0.000062,-0.282600,0.000091,0.500000,1.200000
1,1,5.537807,5.537806,-0.176608,-0.176610,0.500000,1.200000
2,2,0.000054,7.802005,0.000081,-0.293739,0.500000,1.200000
3,3,-5.521079,5.521111,0.201425,-0.201377,0.500000,1.200000
4,4,-7.828589,0.000040,0.254299,0.000060,0.500000,1.200000
5,5,-5.518419,-5.518520,0.205372,0.205236,0.500000,1.200000
6,6,0.000000,-7.799272,0.000000,0.297793,0.500000,1.200000
7,7,5.535371,-5.535253,-0.180237,0.180398,0.500000,1.200000
0,0,7.779193,0.000071,-0.303202,0.000098,0.500000,1.300000
1,1,5.518859,5.518857,-0.189483,-0.189485,0.500000,1.300000
2,2,0.000063,7.770490,0.000087,-0.315153,0.500000,1.300000
3,3,-5.499468,5.499506,0.216109,-0.216058,0.500000,1.300000
4,4,-7.801306,0.000046,0.272838,0.000065,0.500000,1.300000
5,5,-5.496384,-5.496501,0.220344,0.220198,0.500000,1.300000
6,6,0.000000,-7.767322,0.000000,0.319502,0.500000,1.300000
7,7,5.516033,-5.515898,-0.193377,0.193549,0.500000,1.300000
0,0,7.746854,0.000082,-0.323392,0.000105,0.500000,1.400000
1,1,5.498649,5.498647,-0.202100,-0.202103,0.500000,1.400000
2,2,0.000072,7.736876,0.000093,-0.336138,0.500000,1.400000
3,3,-5.476419,5.476461,0.230499,-0.230445,0.500000,1.400000
4,4,-7.772205,0.000053,0.291006,0.000069,0.500000,1.400000
5,5,-5.472883,-5.473015,0.235016,0.234861,0.500000,1.400000
6,6,0.000000,-7.733245,0.000000,0.340777,0.500000,1.400000
7,7,5.495408,-5.495254,-0.206253,0.206437,0.500000,1.400000
0,0,7.712536,0.000093,-0.343178,0.000111,0.500000,1.500000
1,1,5.477202,5.477200,-0.214465,-0.214468,0.500000,1.500000
2,2,0.000082,7.701205,0.000099,-0.356704,0.500000,1.500000
3,3,-5.451958,5.452007,0.244602,-0.244544,0.500000,1.500000
4,4,-7.741324,0.000061,0.308810,0.000073,0.500000,1.500000
5,5,-5.447943,-5.448092,0.249395,0.249230,0.500000,1.500000
6,6,0.000000,-7.697082,0.000000,0.361627,0.500000,1.500000
7,7,5.473521,-5.473347,-0.218872,0.219067,0.500000,1.500000
0,0,7.676279,0.000105,-0.362568,0.000117,0.500000,1.600000
1,1,5.454544,5.454541,-0.226583,-0.226586,0.500000,1.600000
2,2,0.000093,7.663520,0.000104,-0.376859,0.500000,1.600000
3,3,-5.426116,5.426171,0.258422,-0.258361,0.500000,1.600000
4,4,-7.708698,0.000068,0.326258,0.000077,0.500000,1.600000
5,5,-5.421594,-5.421760,0.263487,0.263312,0.500000,1.600000
6,6,0.000000,-7.658876,0.000000,0.382060,0.500000,1.600000
7,7,5.450397,-5.450203,-0.231239,0.231445,0.500000,1.600000
0,0,7.638122,0.000117,-0.381570,0.000123,0.500000,1.700000
