id,gid,x,y,v_x,v_y,radius,time
4,4,-7.085576,0.008314,1.197221,0.003618,0.500000,1.000000
5,5,-4.986208,-5.008174,0.901790,0.911380,0.500000,1.000000
6,6,-0.027950,-7.063413,0.002480,1.287145,0.500000,1.000000
7,7,5.004108,-5.039086,-0.847967,0.851708,0.500000,1.000000
0,0,7.041162,-0.003369,-1.253361,0.002051,0.500000,1.100000
1,1,4.926996,4.965897,-0.831012,-0.841709,0.500000,1.100000
2,2,-0.022024,6.945674,0.012792,-1.290743,0.500000,1.100000
3,3,-4.901016,4.926353,0.903698,-0.899943,0.500000,1.100000
4,4,-6.966281,0.008645,1.192950,0.003304,0.500000,1.100000
5,5,-4.895382,-4.916250,0.908260,0.919241,0.500000,1.100000
6,6,-0.027265,-6.932943,0.006843,1.304693,0.500000,1.100000
7,7,4.919719,-4.953782,-0.843889,0.853042,0.500000,1.100000
0,0,6.915105,-0.003103,-1.260575,0.002662,0.500000,1.200000
1,1,4.844456,4.882227,-0.825396,-0.836697,0.500000,1.200000
2,2,-0.020600,6.815462,0.014242,-1.302115,0.500000,1.200000
3,3,-4.810597,4.836087,0.904195,-0.902667,0.500000,1.200000
4,4,-6.848006,0.008925,1.182754,0.002801,0.500000,1.200000
5,5,-4.804351,-4.823965,0.910315,0.922848,0.500000,1.200000
6,6,-0.026270,-6.801343,0.009957,1.316003,0.500000,1.200000
7,7,4.836000,-4.868983,-0.837197,0.847989,0.500000,1.200000
0,0,6.788913,-0.002790,-1.261917,0.003127,0.500000,1.300000
1,1,4.762661,4.799416,-0.817949,-0.828115,0.500000,1.300000
2,2,-0.018998,6.684492,0.016017,-1.309705,0.500000,1.300000
3,3,-4.720434,4.745850,0.901624,-0.902371,0.500000,1.300000
4,4,-6.731097,0.009135,1.169093,0.002104,0.500000,1.300000
5,5,-4.713423,-4.731592,0.909273,0.923736,0.500000,1.300000
6,6,-0.024991,-6.668977,0.012784,1.323656,0.500000,1.300000
7,7,4.753094,-4.785075,-0.829059,0.839083,0.500000,1.300000
0,0,6.662979,-0.002443,-1.259345,0.003472,0.500000,1.400000
1,1,4.681669,4.717666,-0.809923,-0.817492,0.500000,1.400000
2,2,-0.017168,6.552958,0.018300,-1.315338,0.500000,1.400000
3,3,-4.630740,4.655855,0.896947,-0.899943,0.500000,1.400000
4,4,-6.615719,0.009255,1.153780,0.001200,0.500000,1.400000
5,5,-4.622815,-4.639308,0.906088,0.922838,0.500000,1.400000
6,6,-0.023411,-6.536035,0.015807,1.329429,0.500000,1.400000
7,7,4.671036,-4.702287,-0.820576,0.827880,0.500000,1.400000
0,0,6.537593,-0.002074,-1.253862,0.003693,0.500000,1.500000
1,1,4.601430,4.637084,-0.802387,-0.805829,0.500000,1.500000
2,2,-0.015042,6.420939,0.021262,-1.320191,0.500000,1.500000
3,3,-4.541658,4.566270,0.890817,-0.895848,0.500000,1.500000
4,4,-6.501902,0.009262,1.138168,0.000067,0.500000,1.500000
5,5,-4.532671,-4.547242,0.901435,0.920660,0.500000,1.500000
6,6,-0.021474,-6.402585,0.019367,1.334493,0.500000,1.500000
7,7,4.589756,-4.620746,-0.812801,0.815404,0.500000,1.500000
0,0,6.413005,-0.001697,-1.245873,0.003770,0.500000,1.600000
1,1,4.521779,4.557686,-0.796512,-0.793972,0.500000,1.600000
2,2,-0.012517,6.288457,0.025254,-1.324811,0.500000,1.600000
3,3,-4.453286,4.477246,0.883716,-0.890241,0.500000,1.600000
4,4,-6.389565,0.009131,1.123370,-0.001304,0.500000,1.600000
5,5,-4.443089,-4.455502,0.895822,0.917399,0.500000,1.600000
6,6,-0.019084,-6.268646,0.023901,1.339391,0.500000,1.600000
7,7,4.509057,-4.540494,-0.806991,0.802520,0.500000,1.600000
0,0,6.289470,-0.001330,-1.235358,0.003667,0.500000,1.700000
1,1,4.442081,4.478940,-0.796982,-0.787461,0.500000,1.700000
2,2,-0.009113,6.156020,0.034031,-1.324375,0.500000,1.700000
3,3,-4.365679,4.388939,0.876073,-0.883076,0.500000,1.700000
4,4,-6.278497,0.008854,1.110679,-0.002769,0.500000,1.700000
5,5,-4.354118,-4.364196,0.889703,0.913061,0.500000,1.700000
6,6,-0.015679,-6.134845,0.034050,1.338012,0.500000,1.700000
7,7,4.428156,-4.460903,-0.809010,0.795916,0.500000,1.700000
0,0,6.167314,-0.000975,-1.221554,0.003548,0.500000,1.800000
1,1,4.362471,4.401095,-0.796095,-0.778455,0.500000,1.800000
2,2,-0.005307,6.023622,0.038067,-1.323979,0.500000,1.800000
3,3,-4.278836,4.301478,0.868432,-0.874611,0.500000,1.800000
4,4,-6.168394,0.008417,1.101029,-0.004375,0.500000,1.800000
5,5,-4.265749,-4.273382,0.883698,0.908135,0.500000,1.800000
6,6,-0.012329,-6.000417,0.033502,1.344281,0.500000,1.800000
7,7,4.347799,-4.383043,-0.803569,0.778598,0.500000,1.800000
0,0,6.046759,-0.000842,-1.205553,0.001328,0.500000,1.900000
1,1,4.283030,4.324231,-0.794416,-0.768638,0.500000,1.900000
