id,gid,x,y,v_x,v_y,radius,time
6,6,0.004098,-6.883052,0.004898,1.176537,0.500000,1.000000
7,7,4.934285,-4.916552,-0.741199,0.767943,0.500000,1.000000
0,0,6.832181,0.003790,-1.062359,0.005099,0.500000,1.100000
1,1,4.864645,4.852468,-0.726230,-0.740872,0.500000,1.100000
2,2,0.004783,6.775733,0.006894,-1.151739,0.500000,1.100000
3,3,-4.810040,4.813230,0.784440,-0.780055,0.500000,1.100000
4,4,-6.878585,0.003381,1.021005,0.004637,0.500000,1.100000
5,5,-4.805402,-4.800421,0.789111,0.796235,0.500000,1.100000
6,6,0.004799,-6.766868,0.007013,1.161837,0.500000,1.100000
7,7,4.861430,-4.841091,-0.728542,0.754609,0.500000,1.100000
0,0,6.728021,0.004309,-1.041605,0.005181,0.500000,1.200000
1,1,4.793339,4.779613,-0.713053,-0.728544,0.500000,1.200000
2,2,0.005372,6.661997,0.005891,-1.137355,0.500000,1.200000
3,3,-4.732846,4.736560,0.771943,-0.766708,0.500000,1.200000
4,4,-6.778365,0.003852,1.002200,0.004707,0.500000,1.200000
5,5,-4.727735,-4.722089,0.776666,0.783315,0.500000,1.200000
6,6,0.005405,-6.652119,0.006062,1.147491,0.500000,1.200000
7,7,4.789906,-4.766843,-0.715248,0.742475,0.500000,1.200000
0,0,6.625841,0.004836,-1.021798,0.005270,0.500000,1.300000
1,1,4.723260,4.708049,-0.700799,-0.715646,0.500000,1.300000
2,2,0.006089,6.549677,0.007177,-1.123201,0.500000,1.300000
3,3,-4.656988,4.661116,0.758580,-0.754439,0.500000,1.300000
4,4,-6.680066,0.004330,0.982989,0.004786,0.500000,1.300000
5,5,-4.651394,-4.644950,0.763416,0.771393,0.500000,1.300000
6,6,0.006141,-6.538788,0.007353,1.133308,0.500000,1.300000
7,7,4.719616,-4.693873,-0.702900,0.729703,0.500000,1.300000
0,0,6.525655,0.005367,-1.001864,0.005319,0.500000,1.400000
1,1,4.654434,4.637700,-0.688259,-0.703489,0.500000,1.400000
2,2,0.006754,6.438722,0.006644,-1.109552,0.500000,1.400000
3,3,-4.582377,4.586948,0.746108,-0.741680,0.500000,1.400000
4,4,-6.583604,0.004813,0.964626,0.004826,0.500000,1.400000
5,5,-4.576292,-4.569052,0.751020,0.758975,0.500000,1.400000
6,6,0.006828,-6.426830,0.006872,1.119579,0.500000,1.400000
7,7,4.650590,-4.622108,-0.690257,0.717645,0.500000,1.400000
0,0,6.427399,0.005904,-0.982562,0.005368,0.500000,1.500000
1,1,4.586796,4.568593,-0.676373,-0.691071,0.500000,1.500000
2,2,0.007504,6.329090,0.007506,-1.096325,0.500000,1.500000
3,3,-4.509056,4.513991,0.733208,-0.729563,0.500000,1.500000
4,4,-6.489000,0.005299,0.946042,0.004859,0.500000,1.500000
5,5,-4.502469,-4.494336,0.738225,0.747166,0.500000,1.500000
6,6,0.007603,-6.316208,0.007745,1.106219,0.500000,1.500000
7,7,4.582764,-4.551579,-0.678263,0.705291,0.500000,1.500000
0,0,6.331079,0.006444,-0.963191,0.005393,0.500000,1.600000
1,1,4.520359,4.500678,-0.664369,-0.679150,0.500000,1.600000
2,2,0.008227,6.220718,0.007224,-1.083717,0.500000,1.600000
3,3,-4.436968,4.442268,0.720881,-0.717232,0.500000,1.600000
4,4,-6.396191,0.005786,0.928083,0.004875,0.500000,1.600000
5,5,-4.429871,-4.420821,0.725987,0.735146,0.500000,1.600000
6,6,0.008354,-6.206866,0.007515,1.093428,0.500000,1.600000
7,7,4.516149,-4.482238,-0.666152,0.693414,0.500000,1.600000
0,0,6.236654,0.006985,-0.944252,0.005419,0.500000,1.700000
1,1,4.455071,4.433966,-0.652880,-0.667120,0.500000,1.700000
2,2,0.009014,6.113547,0.007874,-1.071708,0.500000,1.700000
3,3,-4.366135,4.371737,0.708335,-0.705313,0.500000,1.700000
4,4,-6.305190,0.006274,0.910009,0.004883,0.500000,1.700000
5,5,-4.358516,-4.348468,0.713548,0.723532,0.500000,1.700000
6,6,0.009173,-6.098747,0.008185,1.081183,0.500000,1.700000
7,7,4.450694,-4.414097,-0.654541,0.681412,0.500000,1.700000
0,0,6.144129,0.007528,-0.925247,0.005431,0.500000,1.800000
1,1,4.390934,4.368420,-0.641375,-0.655455,0.500000,1.800000
2,2,0.009788,6.007501,0.007743,-1.060466,0.500000,1.800000
3,3,-4.296515,4.302407,0.696194,-0.693298,0.500000,1.800000
4,4,-6.215946,0.006763,0.892440,0.004883,0.500000,1.800000
5,5,-4.288365,-4.277284,0.701504,0.711836,0.500000,1.800000
6,6,0.009984,-5.991782,0.008111,1.069653,0.500000,1.800000
7,7,4.386403,-4.347121,-0.642914,0.669763,0.500000,1.800000
0,0,6.053475,0.008073,-0.906543,0.005445,0.500000,1.900000
1,1,4.327902,4.304045,-0.630321,-0.643755,0.500000,1.900000
2,2,0.010619,5.902498,0.008306,-1.050023,0.500000,1.900000
3,3,-4.228122,4.234252,0.683935,-0.681554,0.500000,1.900000
4,4,-6.128465,0.007250,0.874817,0.004877,0.500000,1.900000
5,5,-4.219430,-4.207242,0.689355,0.700425,0.500000,1.900000
6,6,0.010854,-5.885896,0.008704,1.058863,0.500000,1.900000
7,7,4.323231,-4.281313,-0.631717,0.658074,0.500000,1.900000
0,0,5.964700,0.008618,-0.887748,0.005453,0.500000,2.000000
1,1,4.265970,4.240811,-0.619321,-0.632339,0.500000,2.000000
2,2,0.012516,5.800872,0.018974,-1.016261,0.500000,2.000000
3,3,-4.161811,4.169289,0.663106,-0.649622,0.500000,2.000000
4,4,-6.042700,0.007738,0.857646,0.004872,0.500000,2.000000
5,5,-4.152748,-4.140774,0.666819,0.664683,0.500000,2.000000
6,6,0.012617,-5.783010,0.017633,1.028857,0.500000,2.000000
7,7,4.261175,-4.216646,-0.620569,0.646668,0.500000,2.000000
0,0,5.871298,0.009268,-0.934021,0.006495,0.500000,2.100000
1,1,4.205223,4.178286,-0.607472,-0.625244,0.500000,2.100000
2,2,0.013132,5.700389,0.006158,-1.004833,0.500000,2.100000
3,3,-4.092975,4.103203,0.688363,-0.660861,0.500000,2.100000
4,4,-5.957025,0.008256,0.856746,0.005184,0.500000,2.100000
5,5,-4.083908,-4.073350,0.688402,0.674235,0.500000,2.100000
6,6,0.013365,-5.681066,0.007475,1.019440,0.500000,2.100000
7,7,4.200251,-4.152865,-0.609234,0.637818,0.500000,2.100000
0,0,5.783123,0.009869,-0.881750,0.006017,0.500000,2.200000
1,1,4.139960,4.115661,-0.652622,-0.626255,0.500000,2.200000
2,2,0.015162,5.604983,0.020295,-0.954060,0.500000,2.200000
3,3,-4.028917,4.040040,0.640575,-0.631628,0.500000,2.200000
4,4,-5.860906,0.008823,0.961194,0.005673,0.500000,2.200000
5,5,-4.019618,-4.008918,0.642898,0.644317,0.500000,2.200000
6,6,0.015269,-5.584206,0.019043,0.968601,0.500000,2.200000
7,7,4.134909,-4.088918,-0.653426,0.639463,0.500000,2.200000
0,0,5.693705,0.010465,-0.894179,0.005959,0.500000,2.300000
1,1,4.080071,4.054704,-0.598889,-0.609574,0.500000,2.300000
2,2,0.015709,5.514022,0.005477,-0.909607,0.500000,2.300000
3,3,-3.964386,3.978839,0.645318,-0.612018,0.500000,2.300000
4,4,-5.772374,0.009447,0.885318,0.006233,0.500000,2.300000
5,5,-3.954975,-3.946432,0.646434,0.624863,0.500000,2.300000
6,6,0.015939,-5.491833,0.006699,0.923730,0.500000,2.300000
7,7,4.074889,-4.026677,-0.600198,0.622410,0.500000,2.300000
0,0,5.605491,0.011098,-0.882143,0.006324,0.500000,2.400000
1,1,4.017983,3.993642,-0.620879,-0.610615,0.500000,2.400000
2,2,0.017601,5.423279,0.018912,-0.907435,0.500000,2.400000
3,3,-3.900942,3.916698,0.634438,-0.621408,0.500000,2.400000
4,4,-5.681076,0.010008,0.912980,0.005616,0.500000,2.400000
5,5,-3.891367,-3.883018,0.636073,0.634146,0.500000,2.400000
6,6,0.017751,-5.399681,0.018123,0.921525,0.500000,2.400000
7,7,4.012707,-3.964308,-0.621818,0.623693,0.500000,2.400000
0,0,5.520991,0.011687,-0.844996,0.005893,0.500000,2.500000
1,1,3.960097,3.935426,-0.578863,-0.582160,0.500000,2.500000
2,2,0.018293,5.339081,0.006926,-0.841982,0.500000,2.500000
3,3,-3.839590,3.858104,0.613520,-0.585944,0.500000,2.500000
4,4,-5.595458,0.010612,0.856179,0.006039,0.500000,2.500000
5,5,-3.829858,-3.823138,0.615090,0.598795,0.500000,2.500000
6,6,0.018518,-5.314083,0.007668,0.855975,0.500000,2.500000
7,7,3.954691,-3.904802,-0.580165,0.595061,0.500000,2.500000
0,0,5.433962,0.012318,-0.870291,0.006313,0.500000,2.600000
1,1,3.896620,3.872250,-0.634775,-0.631756,0.500000,2.600000
2,2,0.019948,5.249869,0.016553,-0.892121,0.500000,2.600000
3,3,-3.776907,3.796932,0.626824,-0.611712,0.500000,2.600000
4,4,-5.506308,0.011188,0.891497,0.005758,0.500000,2.600000
5,5,-3.764213,-3.757877,0.656456,0.652610,0.500000,2.600000
6,6,0.020133,-5.223486,0.016149,0.905967,0.500000,2.600000
7,7,3.893949,-3.843158,-0.607410,0.616438,0.500000,2.600000
0,0,5.355840,0.012868,-0.781221,0.005497,0.500000,2.700000
1,1,3.844176,3.819579,-0.524435,-0.526715,0.500000,2.700000
