id,gid,x,y,v_x,v_y,radius,time
0,0,-8.900587,-1.010815,0.994135,-0.108150,0.750000,0.100000
1,0,-8.900587,1.010815,0.994135,0.108150,0.750000,0.100000
2,1,-0.100000,0.000000,-1.000000,0.000000,0.750000,0.100000
0,0,-8.817837,-1.024275,0.827496,-0.134596,0.750000,0.200000
1,0,-8.817837,1.024275,0.827496,0.134596,0.750000,0.200000
2,1,-0.160438,0.000000,-0.604377,0.000000,0.750000,0.200000
0,0,-8.728257,-1.035581,0.895801,-0.113065,0.750000,0.300000
1,0,-8.728257,1.035581,0.895801,0.113065,0.750000,0.300000
2,1,-0.229549,0.000000,-0.691110,0.000000,0.750000,0.300000
0,0,-8.640913,-1.046842,0.873442,-0.112611,0.750000,0.400000
1,0,-8.640913,1.046842,0.873442,0.112611,0.750000,0.400000
2,1,-0.290198,0.000000,-0.606492,0.000000,0.750000,0.400000
0,0,-8.552454,-1.057442,0.884586,-0.106002,0.750000,0.500000
1,0,-8.552454,1.057442,0.884586,0.106002,0.750000,0.500000
2,1,-0.349884,0.000000,-0.596860,0.000000,0.750000,0.500000
0,0,-8.464446,-1.067830,0.880078,-0.103879,0.750000,0.600000
1,0,-8.464446,1.067830,0.880078,0.103879,0.750000,0.600000
2,1,-0.406115,0.000000,-0.562308,0.000000,0.750000,0.600000
0,0,-8.376447,-1.077991,0.879996,-0.101606,0.750000,0.700000
1,0,-8.376447,1.077991,0.879996,0.101606,0.750000,0.700000
2,1,-0.460287,0.000000,-0.541719,0.000000,0.750000,0.700000
0,0,-8.288781,-1.088073,0.876653,-0.100825,0.750000,0.800000
1,0,-8.288781,1.088073,0.876653,0.100825,0.750000,0.800000
2,1,-0.512156,0.000000,-0.518693,0.000000,0.750000,0.800000
0,0,-8.201428,-1.098136,0.873530,-0.100631,0.750000,0.900000
1,0,-8.201428,1.098136,0.873530,0.100631,0.750000,0.900000
2,1,-0.562094,0.000000,-0.499377,0.000000,0.750000,0.900000
0,0,-8.114481,-1.108259,0.869476,-0.101225,0.750000,1.000000
1,0,-8.114481,1.108259,0.869476,0.101225,0.750000,1.000000
2,1,-0.610175,0.000000,-0.480813,0.000000,0.750000,1.000000
0,0,-8.027961,-1.118496,0.865199,-0.102374,0.750000,1.100000
1,0,-8.027961,1.118496,0.865199,0.102374,0.750000,1.100000
2,1,-0.656565,0.000000,-0.463898,0.000000,0.750000,1.100000
0,0,-7.941902,-1.128902,0.860589,-0.104058,0.750000,1.200000
1,0,-7.941902,1.128902,0.860589,0.104058,0.750000,1.200000
2,1,-0.701364,0.000000,-0.447990,0.000000,0.750000,1.200000
0,0,-7.856317,-1.139521,0.855845,-0.106187,0.750000,1.300000
1,0,-7.856317,1.139521,0.855845,0.106187,0.750000,1.300000
2,1,-0.744679,0.000000,-0.433155,0.000000,0.750000,1.300000
0,0,-7.771217,-1.150393,0.851008,-0.108723,0.750000,1.400000
1,0,-7.771217,1.150393,0.851008,0.108723,0.750000,1.400000
2,1,-0.786600,0.000000,-0.419205,0.000000,0.750000,1.400000
0,0,-7.686600,-1.161555,0.846162,-0.111619,0.750000,1.500000
1,0,-7.686600,1.161555,0.846162,0.111619,0.750000,1.500000
2,1,-0.827209,0.000000,-0.406097,0.000000,0.750000,1.500000
0,0,-7.602464,-1.173040,0.841359,-0.114847,0.750000,1.600000
1,0,-7.602464,1.173040,0.841359,0.114847,0.750000,1.600000
2,1,-0.866585,0.000000,-0.393760,0.000000,0.750000,1.600000
0,0,-7.518800,-1.184878,0.836649,-0.118379,0.750000,1.700000
1,0,-7.518800,1.184878,0.836649,0.118379,0.750000,1.700000
2,1,-0.904801,0.000000,-0.382160,0.000000,0.750000,1.700000
0,0,-7.435592,-1.197098,0.832075,-0.122199,0.750000,1.800000
1,0,-7.435592,1.197098,0.832075,0.122199,0.750000,1.800000
2,1,-0.941929,0.000000,-0.371272,0.000000,0.750000,1.800000
0,0,-7.352824,-1.209727,0.827676,-0.126291,0.750000,1.900000
1,0,-7.352824,1.209727,0.827676,0.126291,0.750000,1.900000
2,1,-0.978037,0.000000,-0.361088,0.000000,0.750000,1.900000
0,0,-7.270475,-1.222791,0.823490,-0.130647,0.750000,2.000000
1,0,-7.270475,1.222791,0.823490,0.130647,0.750000,2.000000
2,1,-1.013198,0.000000,-0.351610,0.000000,0.750000,2.000000
0,0,-7.188520,-1.236317,0.819551,-0.135258,0.750000,2.100000
1,0,-7.188520,1.236317,0.819551,0.135258,0.750000,2.100000
2,1,-1.047484,0.000000,-0.342856,0.000000,0.750000,2.100000
0,0,-7.106930,-1.250329,0.815899,-0.140122,0.750000,2.200000
1,0,-7.106930,1.250329,0.815899,0.140122,0.750000,2.200000
2,1,-1.080970,0.000000,-0.334857,0.000000,0.750000,2.200000
0,0,-7.025673,-1.264853,0.812574,-0.145237,0.750000,2.300000
1,0,-7.025673,1.264853,0.812574,0.145237,0.750000,2.300000
2,1,-1.113735,0.000000,-0.327657,0.000000,0.750000,2.300000
0,0,-6.944711,-1.279913,0.809620,-0.150601,0.750000,2.400000
1,0,-6.944711,1.279913,0.809620,0.150601,0.750000,2.400000
2,1,-1.145867,0.000000,-0.321318,0.000000,0.750000,2.400000
0,0,-6.864002,-1.295535,0.807091,-0.156214,0.750000,2.500000
1,0,-6.864002,1.295535,0.807091,0.156214,0.750000,2.500000
2,1,-1.177460,0.000000,-0.315925,0.000000,0.750000,2.500000
0,0,-6.783497,-1.311742,0.805051,-0.162074,0.750000,2.600000
1,0,-6.783497,1.311742,0.805051,0.162074,0.750000,2.600000
2,1,-1.208618,0.000000,-0.311586,0.000000,0.750000,2.600000
0,0,-6.703139,-1.328560,0.803579,-0.168178,0.750000,2.700000
1,0,-6.703139,1.328560,0.803579,0.168178,0.750000,2.700000
2,1,-1.239463,0.000000,-0.308447,0.000000,0.750000,2.700000
0,0,-6.622861,-1.346011,0.802779,-0.174515,0.750000,2.800000
1,0,-6.622861,1.346011,0.802779,0.174515,0.750000,2.800000
2,1,-1.270133,0.000000,-0.306702,0.000000,0.750000,2.800000
0,0,-6.542582,-1.364118,0.802787,-0.181064,0.750000,2.900000
1,0,-6.542582,1.364118,0.802787,0.181064,0.750000,2.900000
2,1,-1.300795,0.000000,-0.306618,0.000000,0.750000,2.900000
0,0,-6.462202,-1.382896,0.803800,-0.187784,0.750000,3.000000
1,0,-6.462202,1.382896,0.803800,0.187784,0.750000,3.000000
2,1,-1.331653,0.000000,-0.308577,0.000000,0.750000,3.000000
0,0,-6.381592,-1.402355,0.806105,-0.194592,0.750000,3.100000
1,0,-6.381592,1.402355,0.806105,0.194592,0.750000,3.100000
2,1,-1.362968,0.000000,-0.313152,0.000000,0.750000,3.100000
0,0,-6.300574,-1.422487,0.810181,-0.201316,0.750000,3.200000
1,0,-6.300574,1.422487,0.810181,0.201316,0.750000,3.200000
2,1,-1.395097,0.000000,-0.321293,0.000000,0.750000,3.200000
0,0,-6.218879,-1.443242,0.816946,-0.207552,0.750000,3.300000
1,0,-6.218879,1.443242,0.816946,0.207552,0.750000,3.300000
2,1,-1.428581,0.000000,-0.334835,0.000000,0.750000,3.300000
0,0,-6.135984,-1.464438,0.828947,-0.211965,0.750000,3.400000
1,0,-6.135984,1.464438,0.828947,0.211965,0.750000,3.400000
2,1,-1.464468,0.000000,-0.358868,0.000000,0.750000,3.400000
0,0,-6.043681,-1.480598,0.923035,-0.161598,0.750000,3.500000
1,0,-6.043681,1.480598,0.923035,0.161598,0.750000,3.500000
2,1,-1.519177,0.000000,-0.547095,0.000000,0.750000,3.500000
0,0,-5.967872,-1.508147,0.758095,-0.275489,0.750000,3.600000
1,0,-5.967872,1.508147,0.758095,0.275489,0.750000,3.600000
2,1,-1.540904,0.000000,-0.217274,0.000000,0.750000,3.600000
0,0,-5.881239,-1.529304,0.866326,-0.211570,0.750000,3.700000
1,0,-5.881239,1.529304,0.866326,0.211570,0.750000,3.700000
2,1,-1.584286,0.000000,-0.433819,0.000000,0.750000,3.700000
0,0,-5.785949,-1.545306,0.952897,-0.160014,0.750000,3.800000
1,0,-5.785949,1.545306,0.952897,0.160014,0.750000,3.800000
2,1,-1.644992,0.000000,-0.607055,0.000000,0.750000,3.800000
0,0,-5.708832,-1.576389,0.771177,-0.310832,0.750000,3.900000
1,0,-5.708832,1.576389,0.771177,0.310832,0.750000,3.900000
2,1,-1.669364,0.000000,-0.243716,0.000000,0.750000,3.900000
0,0,-5.621157,-1.600237,0.876742,-0.238485,0.750000,4.000000
1,0,-5.621157,1.600237,0.876742,0.238485,0.750000,4.000000
2,1,-1.714861,0.000000,-0.454973,0.000000,0.750000,4.000000
0,0,-5.525040,-1.618250,0.961175,-0.180123,0.750000,4.100000
1,0,-5.525040,1.618250,0.961175,0.180123,0.750000,4.100000
2,1,-1.777259,0.000000,-0.623979,0.000000,0.750000,4.100000
0,0,-5.422169,-1.631554,1.028705,-0.133042,0.750000,4.200000
1,0,-5.422169,1.631554,1.028705,0.133042,0.750000,4.200000
2,1,-1.853177,0.000000,-0.759183,0.000000,0.750000,4.200000
0,0,-5.340120,-1.668237,0.820493,-0.366835,0.750000,4.300000
1,0,-5.340120,1.668237,0.820493,0.366835,0.750000,4.300000
2,1,-1.887467,0.000000,-0.342903,0.000000,0.750000,4.300000
0,0,-5.248509,-1.696374,0.916112,-0.281365,0.750000,4.400000
1,0,-5.248509,1.696374,0.916112,0.281365,0.750000,4.400000
2,1,-1.940899,0.000000,-0.534322,0.000000,0.750000,4.400000
0,0,-5.149251,-1.717614,0.992580,-0.212400,0.750000,4.500000
1,0,-5.149251,1.717614,0.992580,0.212400,0.750000,4.500000
2,1,-2.009645,0.000000,-0.687458,0.000000,0.750000,4.500000
0,0,-5.043878,-1.733289,1.053730,-0.156751,0.750000,4.600000
1,0,-5.043878,1.733289,1.053730,0.156751,0.750000,4.600000
2,1,-2.090642,0.000000,-0.809966,0.000000,0.750000,4.600000
0,0,-4.933615,-1.744473,1.102631,-0.111843,0.750000,4.700000
1,0,-4.933615,1.744473,1.102631,0.111843,0.750000,4.700000
2,1,-2.181439,0.000000,-0.907973,0.000000,0.750000,4.700000
0,0,-4.819441,-1.752034,1.141734,-0.075603,0.750000,4.800000
1,0,-4.819441,1.752034,1.141734,0.075603,0.750000,4.800000
2,1,-2.280077,0.000000,-0.986378,0.000000,0.750000,4.800000
0,0,-4.702141,-1.756669,1.173003,-0.046354,0.750000,4.900000
1,0,-4.702141,1.756669,1.173003,0.046354,0.750000,4.900000
2,1,-2.384987,0.000000,-1.049103,0.000000,0.750000,4.900000
0,0,-4.582340,-1.758944,1.198007,-0.022747,0.750000,5.000000
1,0,-4.582340,1.758944,1.198007,0.022747,0.750000,5.000000
2,1,-2.494915,0.000000,-1.099282,0.000000,0.750000,5.000000
0,0,-4.460540,-1.736710,1.218001,0.222335,0.750000,5.100000
1,0,-4.460540,1.736710,1.218001,-0.222335,0.750000,5.100000
2,1,-2.608858,0.000000,-1.139426,0.000000,0.750000,5.100000
0,0,-4.380391,-1.805390,0.801496,-0.686798,0.750000,5.200000
1,0,-4.380391,1.805390,0.801496,0.686798,0.750000,5.200000
2,1,-2.622801,0.000000,-0.139426,0.000000,0.750000,5.200000
0,0,-4.290318,-1.858772,0.900727,-0.533817,0.750000,5.300000
1,0,-4.290318,1.858772,0.900727,0.533817,0.750000,5.300000
2,1,-2.659955,0.000000,-0.371541,0.000000,0.750000,5.300000
